id,PreCollege,After1,AtEnd
423,ND,ND,ND
424,ND,HD,HD
425,LD/MD,ND,HD
426,ND,HD,LD/MD
427,LD/MD,ND,LD/MD
428,LD/MD,ND,HD
429,ND,LD/MD,LD/MD
430,ND,HD,LD/MD
431,ND,LD/MD,LD/MD
432,ND,LD/MD,LD/MD
433,LD/MD,HD,LD/MD
434,LD/MD,HD,LD/MD
435,LD/MD,LD/MD,HD
436,ND,HD,LD/MD
437,ND,LD/MD,LD/MD
438,HD,ND,HD
439,LD/MD,HD,LD/MD
440,ND,LD/MD,HD
441,LD/MD,HD,LD/MD
442,ND,LD/MD,LD/MD
443,LD/MD,LD/MD,LD/MD
444,ND,ND,LD/MD
445,HD,HD,LD/MD
446,ND,HD,ND
447,ND,LD/MD,LD/MD
448,LD/MD,LD/MD,HD
449,ND,LD/MD,ND
450,ND,LD/MD,LD/MD
451,ND,LD/MD,LD/MD
452,LD/MD,HD,LD/MD
453,LD/MD,LD/MD,HD
454,HD,HD,LD/MD
455,ND,HD,LD/MD
456,ND,LD/MD,LD/MD
457,HD,HD,LD/MD
458,ND,LD/MD,ND
459,ND,ND,LD/MD
460,ND,LD/MD,HD
461,ND,LD/MD,LD/MD
462,ND,ND,ND
463,ND,ND,HD
464,HD,HD,HD
465,LD/MD,HD,LD/MD
466,LD/MD,LD/MD,LD/MD
467,HD,LD/MD,HD
468,LD/MD,LD/MD,HD
469,LD/MD,LD/MD,LD/MD
470,HD,ND,HD
471,ND,ND,ND
472,LD/MD,HD,LD/MD
473,ND,LD/MD,LD/MD
474,ND,LD/MD,LD/MD
475,ND,ND,ND
476,ND,LD/MD,LD/MD
477,ND,HD,LD/MD
478,ND,ND,HD
479,ND,HD,HD
480,ND,LD/MD,LD/MD
481,ND,HD,HD
482,LD/MD,HD,HD
483,ND,HD,LD/MD
484,ND,HD,HD
485,ND,LD/MD,LD/MD
486,ND,HD,HD
487,ND,HD,HD
488,ND,LD/MD,HD
489,LD/MD,ND,HD
490,LD/MD,LD/MD,LD/MD
491,ND,ND,ND
492,LD/MD,LD/MD,LD/MD
493,ND,ND,ND
494,ND,HD,LD/MD
495,LD/MD,ND,LD/MD
496,ND,HD,HD
497,ND,HD,LD/MD
498,ND,HD,LD/MD
499,ND,ND,ND
500,LD/MD,LD/MD,LD/MD
501,ND,HD,LD/MD
502,ND,LD/MD,LD/MD
503,ND,HD,LD/MD
504,ND,HD,HD
505,HD,HD,LD/MD
506,ND,HD,LD/MD
507,ND,LD/MD,LD/MD
508,ND,LD/MD,LD/MD
509,ND,LD/MD,LD/MD
510,ND,LD/MD,LD/MD
511,LD/MD,ND,HD
512,ND,LD/MD,LD/MD
513,ND,HD,LD/MD
514,ND,ND,ND
515,ND,HD,LD/MD
516,ND,LD/MD,LD/MD
517,HD,HD,LD/MD
518,ND,ND,ND
519,ND,HD,LD/MD
520,ND,HD,ND
521,HD,HD,LD/MD
522,ND,LD/MD,LD/MD
523,ND,LD/MD,LD/MD
524,HD,HD,LD/MD
525,LD/MD,HD,LD/MD
526,ND,HD,ND
527,LD/MD,LD/MD,LD/MD
528,LD/MD,LD/MD,LD/MD
529,ND,HD,HD
530,ND,LD/MD,LD/MD
531,ND,HD,LD/MD
532,HD,LD/MD,HD
533,ND,HD,LD/MD
534,ND,HD,LD/MD
535,LD/MD,ND,HD
536,ND,HD,LD/MD
537,ND,LD/MD,LD/MD
538,LD/MD,HD,HD
539,ND,HD,HD
540,ND,ND,ND
541,LD/MD,ND,HD
542,ND,HD,LD/MD
543,LD/MD,LD/MD,HD
544,ND,LD/MD,ND
545,ND,LD/MD,HD
546,LD/MD,LD/MD,HD
547,HD,LD/MD,HD
548,LD/MD,LD/MD,HD
549,ND,ND,ND
550,ND,HD,LD/MD
551,ND,HD,HD
552,ND,HD,LD/MD
553,ND,HD,LD/MD
554,ND,HD,LD/MD
555,LD/MD,LD/MD,LD/MD
556,ND,LD/MD,LD/MD
557,ND,HD,LD/MD
558,LD/MD,LD/MD,HD
559,LD/MD,HD,LD/MD
560,LD/MD,LD/MD,HD
561,ND,LD/MD,LD/MD
562,LD/MD,HD,LD/MD
563,LD/MD,HD,LD/MD
564,LD/MD,LD/MD,LD/MD
565,ND,HD,LD/MD
566,LD/MD,LD/MD,LD/MD
567,HD,HD,ND
568,LD/MD,HD,LD/MD
569,LD/MD,ND,HD
570,HD,HD,HD
571,LD/MD,LD/MD,LD/MD
572,LD/MD,LD/MD,LD/MD
573,LD/MD,LD/MD,LD/MD
574,HD,ND,LD/MD
575,ND,HD,HD
576,ND,ND,ND
577,LD/MD,HD,LD/MD
578,ND,LD/MD,LD/MD
579,ND,HD,ND
580,HD,LD/MD,LD/MD
581,LD/MD,LD/MD,LD/MD
582,HD,ND,HD
583,ND,ND,ND
584,ND,HD,LD/MD
585,HD,LD/MD,HD
586,ND,HD,LD/MD
587,ND,HD,LD/MD
588,LD/MD,LD/MD,HD
589,ND,LD/MD,LD/MD
590,ND,HD,LD/MD
591,ND,LD/MD,ND
592,LD/MD,LD/MD,LD/MD
593,ND,LD/MD,LD/MD
594,ND,LD/MD,LD/MD
595,ND,LD/MD,HD
596,ND,ND,ND
597,ND,LD/MD,LD/MD
598,LD/MD,HD,ND
599,LD/MD,LD/MD,LD/MD
600,LD/MD,ND,LD/MD
601,HD,HD,LD/MD
602,ND,LD/MD,ND
603,ND,LD/MD,HD
604,ND,HD,LD/MD
605,LD/MD,LD/MD,HD
606,ND,HD,LD/MD
607,ND,HD,LD/MD
608,HD,LD/MD,HD
609,ND,LD/MD,HD
610,ND,HD,HD
611,ND,LD/MD,ND
612,HD,LD/MD,HD
613,ND,HD,HD
614,HD,HD,LD/MD
615,LD/MD,LD/MD,LD/MD
616,HD,LD/MD,HD
617,ND,LD/MD,ND
618,ND,LD/MD,HD
619,LD/MD,LD/MD,HD
620,ND,ND,HD
621,HD,LD/MD,HD
622,ND,LD/MD,LD/MD
623,LD/MD,ND,HD
624,ND,LD/MD,LD/MD
625,LD/MD,ND,LD/MD
626,ND,LD/MD,HD
627,ND,HD,LD/MD
628,ND,HD,LD/MD
629,LD/MD,HD,LD/MD
630,HD,HD,LD/MD
631,ND,LD/MD,LD/MD
632,ND,HD,HD
633,ND,HD,HD
634,ND,LD/MD,LD/MD
635,ND,HD,LD/MD
636,LD/MD,HD,LD/MD
637,ND,HD,LD/MD
638,ND,LD/MD,ND
639,HD,LD/MD,HD
640,LD/MD,HD,LD/MD
641,ND,ND,ND
642,ND,ND,ND
643,ND,LD/MD,LD/MD
644,ND,HD,LD/MD
645,HD,HD,LD/MD
646,ND,LD/MD,HD
647,ND,HD,LD/MD
648,ND,LD/MD,LD/MD
649,ND,LD/MD,ND
650,LD/MD,LD/MD,ND
651,LD/MD,LD/MD,HD
652,ND,LD/MD,LD/MD
653,ND,ND,ND
654,HD,LD/MD,HD
655,ND,HD,LD/MD
656,LD/MD,HD,LD/MD
657,ND,HD,HD
658,ND,HD,LD/MD
659,LD/MD,HD,LD/MD
660,ND,HD,LD/MD
661,ND,HD,LD/MD
662,ND,LD/MD,LD/MD
663,ND,HD,LD/MD
664,LD/MD,ND,LD/MD
665,ND,HD,ND
666,ND,LD/MD,LD/MD
667,LD/MD,LD/MD,LD/MD
668,LD/MD,LD/MD,HD
669,ND,LD/MD,ND
670,ND,LD/MD,ND
671,ND,LD/MD,ND
672,ND,ND,ND
673,LD/MD,ND,HD
674,LD/MD,HD,LD/MD
675,ND,LD/MD,LD/MD
676,ND,ND,ND
677,LD/MD,ND,HD
678,HD,LD/MD,HD
679,ND,ND,LD/MD
680,ND,LD/MD,HD
681,LD/MD,LD/MD,LD/MD
682,LD/MD,ND,LD/MD
683,HD,HD,LD/MD
684,ND,LD/MD,LD/MD
685,ND,LD/MD,ND
686,ND,HD,LD/MD
687,LD/MD,LD/MD,LD/MD
688,HD,LD/MD,HD
689,ND,HD,HD
690,ND,ND,ND
691,HD,HD,LD/MD
692,LD/MD,HD,LD/MD
693,ND,HD,HD
694,ND,LD/MD,LD/MD
695,ND,LD/MD,HD
696,ND,HD,HD
697,ND,ND,ND
698,ND,ND,LD/MD
699,LD/MD,HD,LD/MD
700,ND,LD/MD,LD/MD
701,ND,LD/MD,LD/MD
702,ND,ND,ND
703,ND,LD/MD,LD/MD
704,ND,LD/MD,ND
705,ND,LD/MD,LD/MD
706,LD/MD,ND,HD
707,ND,LD/MD,LD/MD
708,LD/MD,LD/MD,HD
709,ND,LD/MD,LD/MD
710,HD,HD,HD
711,ND,HD,LD/MD
712,ND,LD/MD,LD/MD
713,HD,HD,LD/MD
714,ND,HD,LD/MD
715,ND,ND,ND
