"","Stabr","area_name","Unemployed_2019","Employed_2019","Civilian_labor_force_2019","Unemployed_2018","Employed_2018","Civilian_labor_force_2018","Unemployed_2017","Employed_2017","Civilian_labor_force_2017","Unemployed_2016","Employed_2016","Civilian_labor_force_2016"
"36","AL","Jackson County, AL",772,22712,23484,944,22468,23412,1110,22088,23198,1488,"22,193","23,681"
"37","AL","Jefferson County, AL",9091,309664,318755,11545,304248,315793,13254,298227,311481,17848,"294,630","312,478"
"38","AL","Lamar County, AL",179,5670,5849,215,5528,5743,241,5523,5764,321,"5,392","5,713"
"39","AL","Lauderdale County, AL",1388,41160,42548,1746,40644,42390,1957,40261,42218,2705,"39,998","42,703"
"40","AL","Lawrence County, AL",447,13859,14306,575,13469,14044,675,13015,13690,947,"12,828","13,775"
"41","AL","Lee County, AL",2080,74500,76580,2702,72541,75243,2926,70836,73762,3786,"68,867","72,653"
"42","AL","Limestone County, AL",1154,42700,43854,1507,41472,42979,1675,40016,41691,2133,"38,720","40,853"
"43","AL","Lowndes County, AL",204,3383,3587,260,3354,3614,301,3371,3672,401,"3,414","3,815"
"44","AL","Macon County, AL",337,7513,7850,420,7442,7862,456,7460,7916,599,"7,301","7,900"
"45","AL","Madison County, AL",4714,180505,185219,6213,175352,181565,6851,169711,176562,8887,"165,388","174,275"
"46","AL","Marengo County, AL",271,7423,7694,371,7237,7608,433,7291,7724,548,"7,155","7,703"
"47","AL","Marion County, AL",446,12486,12932,507,12114,12621,603,11964,12567,827,"11,720","12,547"
"48","AL","Marshall County, AL",1086,42999,44085,1429,41496,42925,1624,40616,42240,2219,"39,535","41,754"
"49","AL","Mobile County, AL",7024,182083,189107,8711,180293,189004,9741,177819,187560,12448,"176,094","188,542"
"50","AL","Monroe County, AL",356,6973,7329,434,6753,7187,487,6756,7243,663,"6,681","7,344"
"51","AL","Montgomery County, AL",3260,102517,105777,4171,101782,105953,4600,101555,106155,5988,"100,202","106,190"
"52","AL","Morgan County, AL",1500,56771,58271,1966,55192,57158,2266,52986,55252,3036,"52,056","55,092"
"53","AL","Perry County, AL",178,3235,3413,219,3192,3411,268,3181,3449,358,"3,123","3,481"
"54","AL","Pickens County, AL",276,7647,7923,350,7395,7745,415,7333,7748,533,"7,265","7,798"
"55","AL","Pike County, AL",504,14924,15428,681,14579,15260,745,14606,15351,971,"14,038","15,009"
"56","AL","Randolph County, AL",292,9347,9639,379,9202,9581,417,9104,9521,526,"8,941","9,467"
"57","AL","Russell County, AL",698,23198,23896,952,23067,24019,1013,22468,23481,1305,"22,322","23,627"
"58","AL","St. Clair County, AL",1091,39441,40532,1378,38742,40120,1561,37780,39341,2024,"37,217","39,241"
"59","AL","Shelby County, AL",2525,113414,115939,3209,111425,114634,3598,108172,111770,4711,"105,324","110,035"
"60","AL","Sumter County, AL",219,4635,4854,277,4543,4820,327,4659,4986,393,"4,738","5,131"
"61","AL","Talladega County, AL",1213,34556,35769,1485,33847,35332,1740,33040,34780,2295,"32,660","34,955"
"62","AL","Tallapoosa County, AL",556,18096,18652,733,17226,17959,768,17505,18273,1036,"17,620","18,656"
"63","AL","Tuscaloosa County, AL",2842,102122,104964,3682,98826,102508,4168,96091,100259,5600,"94,059","99,659"
"64","AL","Walker County, AL",830,24517,25347,1050,24078,25128,1258,23738,24996,1902,"23,767","25,669"
"65","AL","Washington County, AL",313,6487,6800,384,6327,6711,454,6263,6717,581,"6,188","6,769"
"66","AL","Wilcox County, AL",195,2544,2739,258,2498,2756,321,2491,2812,406,"2,422","2,828"
"67","AL","Winston County, AL",336,9705,10041,405,9405,9810,489,9241,9730,676,"8,895","9,571"
"68","AK","Alaska",21349,326430,347779,22761,329901,352662,24850,334449,359299,24812,"336,979","361,791"
"69","AK","Aleutians East Borough, AK",68,2360,2428,70,2222,2292,63,2466,2529,69,"2,514","2,583"
"70","AK","Aleutians West Census Area, AK",129,3477,3606,125,3477,3602,137,3587,3724,132,"3,842","3,974"
