acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.114,['One Direction'],0.627,241533,0.818,0,4hJfmMjy3wFIOknfYwhouY,0,5,0.0504,-4.243,1,Wolves,67,11/13/15,0.057,123.456,0.527,2015
0.00646,['One Direction'],0.584,175093,0.9,0,147ximWPJObFNQ4M1AhFox,0,4,0.267,-3.637,1,Stand Up,62,5/25/12,0.0611,125.007,0.893,2012
0.0191,['One Direction'],0.582,185653,0.903,0,5fEql5cR2hjR6wPGUPiEEb,0,11,0.374,-2.155,1,Na Na Na,63,5/25/12,0.0576,144.973,0.639,2012
0.329,['One Direction'],0.495,208040,0.585,0,0OXbRangbVBMejFX3EV6DN,0,9,0.406,-5.49,1,Summer Love,62,11/12/12,0.0311,121.998,0.318,2012
0.0194,['One Direction'],0.569,178440,0.911,0,02O8hDaIJPEUHh9XEj0u76,0,2,0.0925,-2.705,1,Back For You,61,11/12/12,0.0772,160.054,0.51,2012
0.0543,['One Direction'],0.697,184307,0.894,0,32HwMdkZuUmHg9uznhs9xM,0,2,0.631,-4.891,1,Loved You First,61,11/12/12,0.0599,124.016,0.795,2012
0.017,['One Direction'],0.495,215933,0.966,0,4yVPaA6DOfwbqZIQNv4G5U,0,3,0.606,-2.284,1,I Should Have Kissed You,62,5/25/12,0.114,139.931,0.553,2012
0.085,['One Direction'],0.675,179413,0.874,0,3aGJClg6klBoSa0UZnXeMM,0,3,0.0573,-4.268,1,Does He Know?,62,11/25/13,0.0494,139.021,0.673,2013
0.001,['One Direction'],0.6,161333,0.895,0,31tjImR06JCJswXViIvFuk,0,1,0.145,-5.807,1,Alive,62,11/25/13,0.0468,129.987,0.383,2013
0.231,['One Direction'],0.425,256707,0.668,0,4lrC9aBnzlG9U5DDoHMnyt,0,9,0.0681,-7.542,1,Spaces,64,11/17/14,0.0474,149.924,0.351,2014
0.618,['One Direction'],0.554,158320,0.335,0,1dD1aarWotVIiFo5gGdMc2,0,5,0.0927,-5.513,1,Once in a Lifetime,63,11/17/14,0.0281,133.709,0.298,2014
0.779,['One Direction'],0.714,179013,0.443,0,608R6FvRtAqf2dvgKMzebP,0.000109,5,0.144,-7.638,1,I Want to Write You a Song,66,11/13/15,0.0256,106.038,0.463,2015
0.0379,['One Direction'],0.579,213440,0.779,0,7rdP71W8x4UbJ0KAKBACbo,0,4,0.385,-1.829,0,Never Enough,66,11/13/15,0.0512,164.145,0.587,2015
0.00455,['One Direction'],0.374,218707,0.659,0,46qPfZshPjoitCKdKVD6k7,0,8,0.242,-5.472,1,Same Mistakes,60,5/25/12,0.0281,179.961,0.168,2012
0.0815,['One Direction'],0.681,205560,0.889,0,1KNEo25B740JX8ZcphK4Xm,0,7,0.319,-4.339,1,Stole My Heart,60,5/25/12,0.0396,126.909,0.634,2012
0.000165,['One Direction'],0.561,198053,0.898,0,6N5ruusDFjQPYvCka8ejwP,1.86E-05,7,0.327,-4.722,1,Tell Me a Lie,60,5/25/12,0.056,133.965,0.638,2012
0.00154,['One Direction'],0.59,266600,0.944,0,2skzofTV9Ys3eN70pghEHL,0,10,0.322,-4.323,1,Change Your Ticket,62,11/17/14,0.0499,103.991,0.596,2014
0.0202,['One Direction'],0.523,240000,0.883,0,4fLTtg48X0QtKrj0Jv8I3v,0,8,0.116,-2.956,1,Hey Angel,66,11/13/15,0.0365,92.215,0.35,2015
0.0136,['One Direction'],0.644,217453,0.799,0,2EpTKW1O5Zmok99BzQOi9D,0,7,0.0811,-3.575,1,Everything About You,59,5/25/12,0.0366,130.051,0.79,2012
0.00205,['One Direction'],0.562,194200,0.703,0,23xx852ectQgmp1G78zSpd,0,1,0.15,-5.457,1,Illusion,61,11/17/14,0.0361,122.986,0.538,2014
0.0772,['One Direction'],0.633,192160,0.565,0,2UFOh8iMQ2DON7sl3lqGJH,2.31E-05,0,0.168,-5.179,1,Long Way Down,63,11/13/15,0.0242,145.001,0.539,2015
0.00528,['One Direction'],0.602,205920,0.871,0,41PiyIwNrzoLn598y2glGY,0,2,0.288,-4.208,0,Save You Tonight,58,5/25/12,0.0622,128.057,0.495,2012
0.443,['One Direction'],0.814,182005,0.295,0,1LmwMw97uG572wZ3hohkNt,0,2,0.113,-5.086,1,One Thing - Acoustic,58,11/29/10,0.0338,125.025,0.575,2010
0.000478,['One Direction'],0.54,203707,0.86,0,6xnh4eQ4poVpqQBacETxia,0,8,0.214,-2.424,1,Another World,57,5/25/12,0.0508,127.927,0.585,2012
