ISO3,NAME,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
CMR,CAMEROON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,4,4,4,5,5,5,6,6,7,6,6,7,7,7,7,6,7,7,7,7,7,7,7,8,7,7,7,6,6
CAN,CANADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,4,3,4,4,1,5,7,11,14,17,16,21,27,32,34,24,29,34,33,37,37,46,56,70,88,86,86,75,81,92,99,107,118,117,128,146,163,156,170,192,186,203,217,251,272,324,365,377,403,424,471,521,523,532,533,557,566,613,638,688,762,796,858,909,955,997,917,880,917,862,697,650,682,719,732,697,638,519,458,381,439,453,431,462,405,397,382,351,314,298,274,287,276,255,247,236,229,231,264,272,305
CHL,CHILE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,35,39,41,49,55,57,61,70,73,79,82,94,102,110,113,116,119,121,124,127,126,126,119,116,86,90,93,98,102,100,96,84,84,82,78,81,85,93,109,111,108,113,120,123,133,141,148,138,131,112,102,94,86,88,77
CHN,CHINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,4,4,2,1,1,0,0,0,1,1,2,2,3,6,10,14,16,22,34,41,40,39,42,50,63,80,76,87,120,164,208,243,281,318,354,416,444,487,481,433,409,402,413,424,421,451,475,511,525,505,537,566,646,611,655,687,705,726,757,786,801,835,912,"1,012","1,048"
COL,COLOMBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,6,5,7,7,3,2,1,2,0,2,4,5,7,17,10,8,9,8,12,10,14,16,15,16,16,18,21,26,20,25,27,31,29,32,33,38,39,43,45,46,50,50,58,59,59,62,60,59,56,44,46,47,44,42,45,44,44,47,46,47,45,50,51,54,57,59,62,64,72,69,73,76,74,66,63,58,55,51,52,48
COG,CONGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,7,7,8,7,9,9,13,14,10,10,10,11,11,10,10,11,11,14,13,15,10,17,16,14,14,16,17,16,14,10,8,8,7,7,7,7,9,9,9,8,7,6,5,3
COD,CONGOREP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1
CRI,COSTARICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,3,4,4,4,3,4,4,5,5,6,7,8,7,8,9,10,11,12,14,12,12,12,18,18,18,14,14,11,11,12,13,13,15,14,17,17,18,23,21,26,25,21,19,21,19,19,19,17,16,16,15
CIV,COTEIVOIRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,5,5,6,9,9,10,12,14,17,17,18,19,18,19,21,21,25,22,18,15,16,24,22,19,19,19,18,16,15,16,17,21,24,24,22,25,25,30,26,23,20,12,11,9
HRV,CROATIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,5,6,8,8,10,13,18,25,33,47,58,69,85,78,81,132,121,119,122,122,141,161,151,130,123,121,117,122,132,132,142,137,138,115,79,69,70,64,71,62,65,71,61,49,47,46,49,41,39
